Bulbasaur,https://scrapeme.live/shop/Bulbasaur/,https://scrapeme.live/wp-content/uploads/2018/08/001-350x350.png,£63.00
Ivysaur,https://scrapeme.live/shop/Ivysaur/,https://scrapeme.live/wp-content/uploads/2018/08/002-350x350.png,£87.00
Venusaur,https://scrapeme.live/shop/Venusaur/,https://scrapeme.live/wp-content/uploads/2018/08/003-350x350.png,£105.00
Charmander,https://scrapeme.live/shop/Charmander/,https://scrapeme.live/wp-content/uploads/2018/08/004-350x350.png,£48.00
Charmeleon,https://scrapeme.live/shop/Charmeleon/,https://scrapeme.live/wp-content/uploads/2018/08/005-350x350.png,£165.00
Charizard,https://scrapeme.live/shop/Charizard/,https://scrapeme.live/wp-content/uploads/2018/08/006-350x350.png,£156.00
Squirtle,https://scrapeme.live/shop/Squirtle/,https://scrapeme.live/wp-content/uploads/2018/08/007-350x350.png,£130.00
Wartortle,https://scrapeme.live/shop/Wartortle/,https://scrapeme.live/wp-content/uploads/2018/08/008-350x350.png,£123.00
Blastoise,https://scrapeme.live/shop/Blastoise/,https://scrapeme.live/wp-content/uploads/2018/08/009-350x350.png,£76.00
Caterpie,https://scrapeme.live/shop/Caterpie/,https://scrapeme.live/wp-content/uploads/2018/08/010-350x350.png,£73.00
Metapod,https://scrapeme.live/shop/Metapod/,https://scrapeme.live/wp-content/uploads/2018/08/011-350x350.png,£148.00
Butterfree,https://scrapeme.live/shop/Butterfree/,https://scrapeme.live/wp-content/uploads/2018/08/012-350x350.png,£162.00
Weedle,https://scrapeme.live/shop/Weedle/,https://scrapeme.live/wp-content/uploads/2018/08/013-350x350.png,£25.00
Kakuna,https://scrapeme.live/shop/Kakuna/,https://scrapeme.live/wp-content/uploads/2018/08/014-350x350.png,£148.00
Beedrill,https://scrapeme.live/shop/Beedrill/,https://scrapeme.live/wp-content/uploads/2018/08/015-350x350.png,£168.00
Pidgey,https://scrapeme.live/shop/Pidgey/,https://scrapeme.live/wp-content/uploads/2018/08/016-350x350.png,£159.00
